cluster,variable,mean_value,cluster_size,median_value,q5_value,q25_value,q75_value,q95_value
0,total_distance,0.0934874234277495,6457273,-0.120616691977196,-0.409644531786264,-0.30946617118841,0.250895286727959,1.33795389088395
3,total_distance,5.87558124637388,175988,5.12263092306742,2.60942195586812,3.94354691621626,7.25015677051886,11.3049594341233
1,total_distance,-0.390531622577412,4215126,-0.409644531786264,-0.409644531786264,-0.409644531786264,-0.409644531786264,-0.307014320553571
2,total_distance,0.0793443958365028,106301,-0.348727705177784,-0.409644531786264,-0.409644531786264,0.0877153824918188,2.00264441876312
0,rg,0.0370279950377075,6457273,-0.12732457177777,-0.339746492320252,-0.261937854967413,0.146199817922726,0.96192395922901
3,rg,6.26550457951839,175988,5.30738588491387,2.76302250075385,3.85602855660709,7.75871567905077,12.8662325306353
1,rg,-0.3207282190734,4215126,-0.339746492320252,-0.339746492320252,-0.339746492320252,-0.339746492320252,-0.236539158088195
2,rg,0.0955434342911329,106301,-0.294598110325638,-0.339746492320252,-0.339746492320252,0.0320338608103584,1.81176503828205
0,max_dist_from_home,-0.0286709869940459,6457273,-0.158007983457336,-0.314634234505916,-0.25853954707097,0.0450939981589265,0.706159772620767
3,max_dist_from_home,4.4111006565776,175988,3.75886981157635,1.90429647825297,2.657206734552,5.48740392950209,9.08723789495827
1,max_dist_from_home,-0.302757538274086,4215126,-0.322238591963013,-0.32229414144428,-0.322284558702836,-0.322099675906398,-0.207993868521208
2,max_dist_from_home,6.44393542041294,106301,5.83373326221344,3.2668512820145,4.3080552507142,8.0935506870517,11.5937690996561
0,mean_dist_from_home,-0.0582473081318175,6457273,-0.156450026423701,-0.239254418035655,-0.211322321398979,-0.0368828845159087,0.389204135277641
3,mean_dist_from_home,2.75510099035272,175988,2.19804435965082,0.621686090671584,1.31915127771489,3.64814088692615,6.86127741411588
1,mean_dist_from_home,-0.227780232846823,4215126,-0.242867628520741,-0.242931411194244,-0.242921083226844,-0.242714884771623,-0.177839459468961
2,mean_dist_from_home,8.00911034506513,106301,7.24650202166514,4.1471716230435,5.41693871742173,10.0107862677269,14.28443018539
0,min_dist_from_home,-0.0758008822915993,6457273,-0.122370572126633,-0.122440861477614,-0.122417028929444,-0.122209781714358,-0.00513175089922892
3,min_dist_from_home,-0.00532433440942071,175988,-0.122385888300316,-0.122440861477614,-0.122428915344154,-0.122248870596843,0.146941454577184
1,min_dist_from_home,-0.11230998575817,4215126,-0.122394237855382,-0.122440861477614,-0.122440861477614,-0.122298718319599,-0.121813727743019
2,min_dist_from_home,9.06675149425369,106301,8.18059801869593,4.76625381819223,6.18043643150785,11.3174235232758,16.194392758612
0,max_freq_norm,0.0592639394573074,6457273,0.123824987193701,-1.87189486639585,-0.653922277449454,0.733307640925061,1.74330746710844
3,max_freq_norm,0.18801856360301,175988,0.2533121443967,-1.95210986975794,-0.478194613634823,0.890757326472325,1.91983549622838
1,max_freq_norm,-0.0556149344014151,4215126,-0.224274918068733,-0.945879262212346,-0.712036937923582,0.347131236796109,1.4175174327838
2,max_freq_norm,-1.70599045276114,106301,-2.00845878378049,-2.31347697104916,-2.22213138421088,-1.41988397360849,-0.153715729544207
0,mean_freq_norm,-0.427259531654865,6457273,-0.513927254698855,-1.58211155567132,-1.0060799945934,0.0528788402264703,0.978335141165709
3,mean_freq_norm,-0.777493100626316,175988,-0.88359794005225,-1.73709588444894,-1.28741717275521,-0.389476121437017,0.514419154599615
1,mean_freq_norm,0.721586198556663,4215126,0.557313235861052,-0.264346720747064,0.0254266282191419,1.17081452784909,2.23583186941868
2,mean_freq_norm,-1.3717260725367,106301,-1.63714796147446,-1.89847839360567,-1.82187847144042,-1.14815543509399,0.0254266282191419
0,min_freq_norm,-0.674458995394469,6457273,-0.812881886754843,-0.893279267667868,-0.869245852199689,-0.636347481946934,0.0520881983410525
3,min_freq_norm,-0.784300444676743,175988,-0.866395800407415,-0.897172437674347,-0.885799903026478,-0.800692606422869,-0.38625707513573
1,min_freq_norm,1.08160741879626,4215126,0.960658401547474,0.0670317872095798,0.64983175308212,1.47870281565639,2.33347609893612
2,min_freq_norm,-0.620109176163621,106301,-0.825611198493931,-0.895521075446197,-0.878399268539207,-0.603501506858827,0.455565097791273
0,entropy_norm,0.377274012561637,6457273,0.131609510453343,-0.701603753729114,-0.259688017847743,0.692481175737714,2.30842784846619
3,entropy_norm,0.12352184013371,175988,-0.138981960129602,-0.762135755837582,-0.482489935534916,0.379609288580125,1.95997591222848
1,entropy_norm,-0.573045991016418,4215126,-0.672259317919051,-1.11937092146885,-1.00399412890597,-0.319206717026833,0.399868425743062
2,entropy_norm,-0.399230492547502,106301,-0.613980005077497,-1.05704665973787,-0.87968737951798,-0.152030225108614,1.01836146654653
0,n_visits,0.459621448209303,6457273,0.124889766956454,-0.864750199509377,-0.20499022186549,0.784649744600342,2.43404968871006
3,n_visits,0.799334153948884,175988,0.454769755778398,-0.534870210687433,-0.20499022186549,1.44440972224423,2.763929677532
1,n_visits,-0.738128905248038,4215126,-0.864750199509377,-0.864750199509377,-0.864750199509377,-0.534870210687433,-0.20499022186549
2,n_visits,0.0257001630701712,106301,-0.20499022186549,-0.864750199509377,-0.864750199509377,0.454769755778398,2.10416969988812
0,time_spent_home,-0.174078348261787,6457273,-0.391592113537609,-0.391592113537609,-0.391592113537609,-0.391592113537609,1.34673030213424
3,time_spent_home,-0.117219515033218,175988,-0.391592113537609,-0.391592113537609,-0.391592113537609,-0.391592113537609,1.58498292450202
1,time_spent_home,0.281445271004536,4215126,-0.391592113537609,-0.391592113537609,-0.391592113537609,0.666104287848432,4.26028335540827
2,time_spent_home,-0.391592113537609,106301,-0.391592113537609,-0.391592113537609,-0.391592113537609,-0.391592113537609,-0.391592113537609
