n_visits,app_cluster,n_uid_date,p_uid_date
1,3,822767,0.847544977414719
1,4,1382075,0.33665102534148
1,6,279718,0.236107523723185
1,5,10581,0.760457093574817
1,1,242396,0.509364775499654
1,8,8570,0.416545154077962
1,2,7662,0.881906077348066
1,7,661356,0.158425243175212
1,All Data,3415125,0.311751515659395
2,3,124597,0.128349291538117
2,4,739150,0.180044936332077
2,6,165463,0.139665874909049
2,1,143083,0.300670968880745
2,8,3055,0.14848838339652
2,5,2658,0.191030616645106
2,2,949,0.109231123388582
2,7,480422,0.115083211124904
2,All Data,1659377,0.151477118641438
3,3,19039,0.0196123675657857
3,6,199299,0.168226547345924
3,4,624514,0.152121468400853
3,1,61870,0.130012040875937
3,8,3120,0.151647710702829
3,5,554,0.0398160126491304
3,2,65,0.00748158379373849
3,7,598178,0.143291200370242
3,All Data,1506639,0.137534348465006
4,3,3093,0.00318614700777222
4,4,403084,0.0981847163856847
4,6,146858,0.123961556706896
4,1,17367,0.0364945710989558
4,8,1848,0.0898221055701371
4,5,99,0.00711513583441139
4,7,550602,0.131894555644401
4,2,12,0.00138121546961326
4,All Data,1122963,0.102510279207766
5,6,121276,0.102368013667526
5,4,308437,0.0751302442365647
5,3,844,0.000869417418221712
5,1,6587,0.0138417538912202
5,8,1408,0.0684358899581997
5,5,22,0.00158114129653586
5,7,487395,0.116753566002853
5,2,,
5,All Data,925973,0.0845279414983864
6,4,212176,0.051682627898525
6,3,235,0.000242077124741827
6,6,86535,0.0730434386252792
6,1,2431,0.00510844143154037
6,8,919,0.0446680276076602
6,5,,
6,7,389873,0.093392552320459
6,All Data,692171,0.0631852006428693
7,4,146160,0.035602202386926
7,3,116,0.000119493389234264
7,6,61078,0.0515554069954909
7,1,1048,0.00220224048550157
7,8,632,0.0307183824244192
7,7,296140,0.0709391787689343
7,All Data,505174,0.046115079293355
8,4,97070,0.0236446756000199
8,3,41,4.22347324017656e-05
8,6,41224,0.0347968187887965
8,1,498,0.00104648450551506
8,8,399,0.0193934091571887
8,7,215367,0.051590322529645
8,All Data,354599,0.0323697597309925
9,4,64070,0.0156064115143018
9,6,27732,0.0234083392841768
9,1,250,0.000525343627266595
9,8,252,0.0122484689413823
9,3,21,2.16324239130995e-05
9,7,151914,0.0363904045502259
9,All Data,244239,0.0222954879933048
10,4,41633,0.010141122687294
10,6,18107,0.0152839607463793
10,3,12,1.23613850931997e-05
10,1,140,0.000294192431269293
10,8,138,0.00670749489647128
10,7,104999,0.0251520997891515
10,All Data,165029,0.0150647606977063
11,4,27473,0.0066919766432404
11,6,11656,0.00983872792068243
11,3,,
11,8,97,0.00471468844172256
11,1,86,0.000180718207779709
11,7,72376,0.0173373877307368
11,All Data,111692,0.0101958640714554
12,4,18059,0.00439887912496919
12,6,7638,0.00644716917108548
12,1,51,0.000107170099962385
12,3,,
12,8,54,0.0026246719160105
12,7,49386,0.0118302231467637
12,All Data,75189,0.0068636681558989
13,4,12064,0.0029385944827304
13,6,5244,0.00442641465477511
13,1,38,7.98522313445225e-05
13,7,34231,0.00819990216937729
13,3,,
13,8,28,0.00136094099348693
13,All Data,51606,0.00471088136367446
14,4,8079,0.00196791319843989
14,6,3466,0.00292562036488378
14,8,20,0.000972100709633518
14,7,23363,0.00559651527513545
14,1,22,4.62302391994604e-05
14,All Data,34950,0.00319042947836341
15,4,5507,0.00134141576727423
15,6,2499,0.00210938410035908
15,1,12,2.52164941087966e-05
15,8,23,0.00111791581607855
15,7,16336,0.0039132249083856
15,All Data,24377,0.00222526750769857
16,4,3838,0.000934874471545032
16,6,1653,0.00139528288030955
16,7,11488,0.00275190546936421
16,3,,
16,1,,
16,8,11,0.000534655390298435
16,All Data,16999,0.00155176282411158
17,4,2830,0.00068934204129037
17,6,1230,0.00103823227028478
17,8,,
17,7,8091,0.00193816740534696
17,1,,
17,All Data,12164,0.00111039725822067
18,4,2146,0.00052273074933185
18,6,891,0.000752085327498975
18,8,,
18,1,,
18,7,5836,0.00139799097486155
18,All Data,8884,0.000810980700594579
19,4,1465,0.000356850208653849
19,6,652,0.000550347512378599
19,7,4178,0.00100082355945366
19,8,,
19,All Data,6301,0.00057519016146403
20,4,1141,0.000277929070357708
20,6,488,0.000411916543007295
20,7,3084,0.000738760138189348
20,1,,
20,8,,
20,All Data,4717,0.000430593872659233
21,4,877,0.000213622957671963
21,6,392,0.000330883780448483
21,7,2356,0.000564370585465014
21,1,,
21,8,,
21,All Data,3629,0.000331275209641797
22,4,690,0.00016807279451956
22,6,305,0.000257447839379559
22,7,1767,0.000423277939098761
22,1,,
22,8,,
22,All Data,2768,0.000252678363264948
23,4,515,0.000125445636489237
23,6,235,0.000198361450013759
23,7,1343,0.000321710397402171
23,1,,
23,8,,
23,All Data,2096,0.000191334483165943
24,4,414,0.000100843676711736
24,6,182,0.000153624612351081
24,7,1069,0.000256074769041638
24,1,,
24,All Data,1666,0.000152081702745449
25,4,315,7.67288844545819e-05
25,6,160,0.000135054604264687
25,7,818,0.000195948700725968
25,8,,
25,All Data,1294,0.000118123483404929
26,4,266,6.47932802060914e-05
26,6,123,0.000103823227028478
26,7,591,0.000141571738544068
26,1,,
26,8,,
26,All Data,983,8.97336817519666e-05
27,6,104,8.77854927720464e-05
27,4,225,5.4806346038987e-05
27,7,457,0.000109472562630523
27,8,,
27,All Data,787,7.18417167230903e-05
28,4,162,3.94605691480707e-05
28,6,74,6.24627544724176e-05
28,7,344,8.24038545840258e-05
28,8,,
28,All Data,582,5.31281818714594e-05
29,4,144,3.50760614649517e-05
29,7,293,7.01870040497662e-05
29,6,69,5.82422980891462e-05
29,8,,
29,All Data,507,4.62817666818383e-05
30,4,118,2.87428837004465e-05
30,6,59,4.98013853226033e-05
30,7,205,4.91069482259456e-05
30,All Data,382,3.48710746991366e-05
31,7,173,4.144147338092e-05
31,4,88,2.14353708952483e-05
31,6,63,5.31777504292204e-05
31,8,,
31,All Data,325,2.96677991550246e-05
32,4,97,2.36276247368077e-05
32,7,131,3.13805376468238e-05
32,6,51,4.30486551093689e-05
32,All Data,279,2.54686645053903e-05
33,4,76,1.8512365773169e-05
33,7,88,2.10800558238206e-05
33,6,38,3.20754685128631e-05
33,8,,
33,All Data,203,1.85309637799077e-05
34,4,81,1.97302845740353e-05
34,7,75,1.79659566680289e-05
34,6,35,2.95431946829002e-05
34,All Data,191,1.74355373495683e-05
35,6,32,2.70109208529374e-05
35,4,49,1.19356042484905e-05
35,7,53,1.26959427120737e-05
35,8,,
35,All Data,135,1.23235473413179e-05
36,4,45,1.09612692077974e-05
36,7,35,8.38411311174681e-06
36,6,26,2.19463731930116e-05
36,8,,
36,All Data,107,9.7675523371927e-06
37,4,45,1.09612692077974e-05
37,7,32,7.66547484502566e-06
37,6,25,2.11022819163573e-05
37,8,,
37,All Data,103,9.40241019374625e-06
38,4,38,9.25618288658448e-06
38,7,39,9.34229746737502e-06
38,6,16,1.35054604264687e-05
38,All Data,93,8.48955483513011e-06
39,4,41,9.98693416710431e-06
39,7,12,2.87455306688462e-06
39,6,,
39,All Data,60,5.47713215169684e-06
40,7,33,7.90502093393271e-06
40,6,10,8.44091276654292e-06
40,4,31,7.55109656537155e-06
40,All Data,74,6.75512965375944e-06
41,4,32,7.79468032554482e-06
41,7,21,5.03046786704809e-06
41,6,,
41,All Data,61,5.56841768755846e-06
42,4,20,4.87167520346552e-06
42,7,,
42,6,,
42,All Data,32,2.92113714757165e-06
43,7,12,2.87455306688462e-06
43,4,24,5.84601024415862e-06
43,6,,
43,All Data,41,3.74270697032618e-06
44,7,,
44,6,,
44,4,,
44,All Data,20,1.82571071723228e-06
45,7,,
45,4,,
45,6,,
45,8,,
45,All Data,17,1.55185410964744e-06
46,4,,
46,6,,
46,7,,
46,All Data,15,1.36928303792421e-06
47,4,,
47,7,,
47,6,,
47,8,,
47,All Data,,
48,6,,
48,4,,
48,7,,
48,All Data,,
49,6,,
49,4,,
49,7,,
49,All Data,10,9.1285535861614e-07
50,6,,
50,4,,
50,7,,
50,All Data,10,9.1285535861614e-07
51,4,,
51,7,,
51,All Data,,
52,4,,
52,All Data,,
53,7,,
53,All Data,,
54,7,,
54,6,,
54,4,,
54,All Data,,
55,7,,
55,All Data,,
56,4,,
56,All Data,,
57,4,,
57,All Data,,
59,7,,
59,8,,
59,All Data,,
60,6,,
60,All Data,,
62,7,,
62,4,,
62,All Data,,
64,6,,
64,All Data,,
65,7,,
65,All Data,,
68,4,,
68,All Data,,
72,4,,
72,All Data,,
80,4,,
80,All Data,,
